property_name,Estate_name,property_address,property_location
Furnished 2 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
1 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Bedsitter,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 1 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
1 Bed Apartment,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Townhouse with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 1 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 1 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Studio Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 1 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Commercial Property,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Office with Parking,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
